ID,from_node,to_node,distance,spend_tm
1,0,1,18.681541692269406,18
2,0,2,20.615528128088304,20
3,0,3,16.1245154965971,16
4,0,4,18.110770276274835,18
5,0,5,15.132745950421556,15
6,0,6,19.0,19
7,0,7,16.0,16
8,0,8,18.110770276274835,18
9,0,9,20.09975124224178,20
10,0,10,16.76305461424021,16
11,0,11,19.6468827043885,19
12,0,12,38.07886552931954,38
13,0,13,30.805843601498726,30
14,0,14,39.35733730830886,39
15,0,15,36.05551275463989,36
16,0,16,40.311288741492746,40
17,0,17,33.301651610693426,33
18,0,18,35.35533905932738,35
19,0,19,39.05124837953327,39
20,0,20,10.0,10
21,0,21,10.198039027185569,10
22,0,22,12.165525060596439,12
23,0,23,13.0,13
24,0,24,15.0,15
25,0,25,15.132745950421556,15
26,0,26,15.811388300841896,15
27,0,27,17.11724276862369,17
28,0,28,17.72004514666935,17
29,0,29,20.0,20
30,0,30,20.615528128088304,20
31,0,31,33.54101966249684,33
32,0,32,31.622776601683793,31
33,0,33,33.52610922848042,33
34,0,34,32.38826948140329,32
35,0,35,38.07886552931954,38
36,0,36,35.35533905932738,35
37,0,37,39.293765408777,39
38,0,38,41.23105625617661,41
39,0,39,40.311288741492746,40
40,0,40,20.615528128088304,20
41,0,41,18.681541692269406,18
42,0,42,19.313207915827967,19
43,0,43,16.55294535724685,16
44,0,44,21.540659228538015,21
45,0,45,22.360679774997898,22
46,0,46,20.591260281974,20
47,0,47,18.027756377319946,18
48,0,48,23.323807579381203,23
49,0,49,19.209372712298546,19
50,0,50,22.80350850198276,22
51,0,51,25.0,25
52,0,52,21.213203435596427,21
53,0,53,45.17742799230607,45
54,0,54,40.049968789001575,40
55,0,55,35.05709628591621,35
56,0,56,45.0,45
57,0,57,35.0,35
58,0,58,45.044422518220834,45
59,0,59,35.05709628591621,35
60,0,60,45.27692569068709,45
61,0,61,22.360679774997898,22
62,0,62,18.027756377319946,18
63,0,63,14.142135623730951,14
64,0,64,21.540659228538015,21
65,0,65,12.806248474865697,12
66,0,66,16.55294535724685,16
67,0,67,12.206555615733702,12
68,0,68,20.615528128088304,20
69,0,69,15.811388300841896,15
70,0,70,58.52349955359813,58
71,0,71,57.0087712549569,57
72,0,72,23.853720883753127,23
73,0,73,55.71355310873648,55
74,0,74,19.849433241279208,19
75,0,75,15.811388300841896,15
76,0,76,52.20153254455275,52
77,0,77,52.0,52
78,0,78,50.28916384272063,50
79,0,79,51.07837115648854,51
80,0,80,51.478150704935004,51
81,0,81,47.43416490252569,47
82,0,82,35.35533905932738,35
83,0,83,32.38826948140329,32
84,0,84,31.04834939252005,31
85,0,85,29.732137494637012,29
86,0,86,26.476404589747453,26
87,0,87,25.495097567963924,25
88,0,88,26.92582403567252,26
89,0,89,24.351591323771842,24
90,0,90,20.615528128088304,20
91,0,91,22.360679774997898,22
92,0,92,44.204072210600685,44
93,0,93,43.01162633521314,43
94,0,94,40.607881008493905,40
95,0,95,37.20215047547655,37
96,0,96,36.05551275463989,36
97,0,97,40.311288741492746,40
98,0,98,30.805843601498726,30
99,0,99,33.54101966249684,33
100,0,100,38.07886552931954,38
101,0,101,0.0,0
102,1,0,18.681541692269406,18
103,1,2,2.0,2
104,1,3,3.605551275463989,3
105,1,4,3.0,3
106,1,5,4.242640687119285,4
107,1,6,5.0990195135927845,5
108,1,7,5.385164807134504,5
109,1,8,7.0,7
110,1,9,7.280109889280518,7
111,1,10,10.198039027185569,10
112,1,11,10.04987562112089,10
113,1,12,26.248809496813376,26
114,1,13,24.041630560342615,24
115,1,14,28.600699292150182,28
116,1,15,27.730849247724095,27
117,1,16,30.23243291566195,30
118,1,17,27.892651361962706,27
119,1,18,30.805843601498726,30
120,1,19,32.31098884280702,32
121,1,20,23.430749027719962,23
122,1,21,21.93171219946131,21
123,1,22,23.345235059857504,23
124,1,23,21.400934559032695,21
125,1,24,26.90724809414742,26
126,1,25,25.612496949731394,25
127,1,26,23.853720883753127,23
128,1,27,27.202941017470888,27
129,1,28,25.553864678361276,25
130,1,29,30.805843601498726,30
131,1,30,28.178005607210743,28
132,1,31,48.104053883222775,48
133,1,32,44.82186966202994,44
134,1,33,46.400431032480725,46
135,1,34,43.56604182158393,43
136,1,35,51.85556864985669,51
137,1,36,46.14108798023731,46
138,1,37,51.31276644267,51
139,1,38,53.0,53
140,1,39,50.53711507397311,50
141,1,40,39.293765408777,39
142,1,41,37.36308338453881,37
143,1,42,37.94733192202055,37
144,1,43,35.11409973215888,35
145,1,44,40.162171256046406,40
146,1,45,40.85339643163099,40
147,1,46,39.0,39
